stripe_charge_id,amount,payment_date,description,payment_status,stripe_customer_id,customer_email,customer_name
ch_3R3GmeBAE8SudaDO0rRmgbVD,50.00,2025-03-16,Membership Purchase: [YO] Introductory plan,succeeded,,,
ch_3R1nk0BAE8SudaDO0w4FcEgG,50.00,2025-03-12,Membership Purchase: [YO] Introductory plan,succeeded,,,
ch_3R0u1TBAE8SudaDO0TkeZIH6,25.00,2025-03-10,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QyMgWBAE8SudaDO018WG39h,25.00,2025-03-03,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QxjmqBAE8SudaDO1B6DzNTw,675.00,2025-03-01,Membership Purchase: 6 Month upfront,succeeded,,,
ch_3QvpP7BAE8SudaDO0jxzBzfa,25.00,2025-02-24,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QtI6VBAE8SudaDO00xf1FEw,25.00,2025-02-17,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QqkmKBAE8SudaDO0gyEbOW4,25.00,2025-02-10,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QoDKxBAE8SudaDO0majRFK4,25.00,2025-02-03,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QoOBqBAE8SudaDO0StGSyux,100.00,2025-02-03,Membership Purchase: Block of 10 Sessions,succeeded,,,
ch_3QlfzYBAE8SudaDO1lAhxgj2,25.00,2025-01-27,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Qk9CDBAE8SudaDO1CHYEUFJ,350.00,2025-01-22,3 Months Upfront,succeeded,,,
ch_3Qj8eeBAE8SudaDO1HTmpH8W,25.00,2025-01-20,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QgbK3BAE8SudaDO0xbSeCKO,25.00,2025-01-13,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Qe45jBAE8SudaDO0CeblETR,25.00,2025-01-06,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Qc5KDBAE8SudaDO0aT2lSxS,249.00,2024-12-31,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3QbWliBAE8SudaDO1xjLuSSz,25.00,2024-12-30,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QYzO9BAE8SudaDO0Swkvw9M,25.00,2024-12-23,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QWRxoBAE8SudaDO12JE4lVm,25.00,2024-12-16,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QTuetBAE8SudaDO1SBLJEfB,25.00,2024-12-09,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QT2yPBAE8SudaDO1piZ58VX,400.00,2024-12-06,6 Month Offer Price,succeeded,,,
ch_3QRUHnBAE8SudaDO1YxFJ89O,50.00,2024-12-02,Membership Payment: Full Member,succeeded,,,
ch_3QRNKxBAE8SudaDO1hBGQ46M,25.00,2024-12-02,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QOq2PBAE8SudaDO0tI1eeyw,25.00,2024-11-25,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QOUBNBAE8SudaDO0B0fHZ9t,249.00,2024-11-24,Membership Purchase: [Black Friday Offer] Train In December For Free - 6 Week Transformation Programme,succeeded,,,
ch_3QNtPuBAE8SudaDO0sIsev7v,249.00,2024-11-22,Membership Purchase: [Black Friday Offer] Train In December For Free - 6 Week Transformation Programme,succeeded,,,
ch_3QMIi8BAE8SudaDO187hGIjO,25.00,2024-11-18,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QJlRyBAE8SudaDO0hupX9hM,25.00,2024-11-11,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QHEBqBAE8SudaDO0Mdedk3L,25.00,2024-11-04,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QEggDBAE8SudaDO1gW30niH,25.00,2024-10-28,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QC8NZBAE8SudaDO0tF1ymmF,25.00,2024-10-20,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3QBlxcBAE8SudaDO01SHALSG,100.00,2024-10-19,Membership Payment: Full Member (York),succeeded,cus_PiuWP3iMyPzhjd,,
ch_3QAz8eBAE8SudaDO1CBt5p01,100.00,2024-10-17,Membership Purchase: Block of 10 Sessions,succeeded,,,
ch_3Q9b2lBAE8SudaDO0HaKT350,25.00,2024-10-13,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Q73jdBAE8SudaDO1blyftSn,25.00,2024-10-06,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Q6hCzBAE8SudaDO0N64PFTd,110.00,2024-10-05,Membership Payment: Full Member (York),succeeded,cus_PgfkuFsxhrlUD3,,
ch_3Q4WTuBAE8SudaDO0B5QnSOR,25.00,2024-09-29,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Q1zFLBAE8SudaDO0iiiPcCP,25.00,2024-09-22,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Q0tblBAE8SudaDO1jpRueyP,100.00,2024-09-19,Membership Payment: Full Member (York),succeeded,cus_PiuWP3iMyPzhjd,,
ch_3PzhCfBAE8SudaDO13M3Xpf4,149.00,2024-09-16,6 Week Transformation Programme [York],succeeded,,,
ch_3PzhYNBAE8SudaDO117z1WrH,149.00,2024-09-16,6 Week Transformation Programme [York],succeeded,,,
ch_3PzS28BAE8SudaDO0IMvOw0t,25.00,2024-09-15,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3PwuWBBAE8SudaDO1rXfXMP3,25.00,2024-09-08,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3PvoxgBAE8SudaDO0dIzkC51,110.00,2024-09-05,Membership Payment: Full Member (York),succeeded,cus_PgfkuFsxhrlUD3,,
ch_3PugQuBAE8SudaDO1UmjTIP5,199.00,2024-09-02,Membership Purchase: 6 Week Transformation Programme [York],succeeded,,,
ch_3PuRbvBAE8SudaDO1M4f7eWr,25.00,2024-09-02,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3Pu8fZBAE8SudaDO0C7Shoao,199.00,2024-09-01,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PtXF9BAE8SudaDO0LuXgRcz,199.00,2024-08-30,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PsqakBAE8SudaDO05R8KibV,199.00,2024-08-28,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PssudBAE8SudaDO0zObKFsm,199.00,2024-08-28,Membership Purchase: 6 week transformation programme,succeeded,cus_QkNgkAHLOh8Gha,,
ch_3PspXABAE8SudaDO1aZOxWmp,199.00,2024-08-28,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PspTcBAE8SudaDO1I1IAC77,199.00,2024-08-28,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PrptzBAE8SudaDO1CbM10i0,25.00,2024-08-25,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3PrdY1BAE8SudaDO11hTlm5Y,199.00,2024-08-25,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3PpetmBAE8SudaDO1vZja5pd,100.00,2024-08-19,Membership Payment: Full Member (York),succeeded,cus_PiuWP3iMyPzhjd,,
ch_3PpIZWBAE8SudaDO1OFbKrUk,25.00,2024-08-18,Membership Payment: 12 months (paid weekly),succeeded,cus_LaN85ZNStAeZbr,,
ch_3PoJdNBAE8SudaDO1td7OwH3,199.00,2024-08-16,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3Po77CBAE8SudaDO17hKvT5p,199.00,2024-08-15,Membership Purchase: 6 week transformation programme,succeeded,,,
ch_3Po1DPBAE8SudaDO07OofG3d,25.00,2024-08-15,Membership Payment: Weekly payments York,succeeded,,,
ch_3Po64qBAE8SudaDO0eBNm0wF,199.00,2024-08-15,Membership Purchase: 6 Week Transformation Programme [York],succeeded,,,
ch_3PkaKdBAE8SudaDO0a8jvpvB,110.00,2024-08-05,Membership Payment: Full Member (York),succeeded,cus_PgfkuFsxhrlUD3,,
ch_3PiFLiBAE8SudaDO0pxqDA0n,25.00,2024-07-30,Membership Payment: 12 months (paid weekly),succeeded,,,
ch_3PfGJHBAE8SudaDO1SJsTJzk,25.00,2024-07-22,Membership Payment: 12 months (paid weekly),succeeded,,,
ch_3PfPT1BAE8SudaDO1LtKW9rd,149.00,2024-07-22,Membership Purchase: 6 Week Transformation Programme [York],succeeded,,,
ch_3PciuZBAE8SudaDO0TZUfIpk,25.00,2024-07-15,Membership Payment: 12 months (paid weekly),succeeded,,,
